,SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC)
0,airuc-secure,84:D4:7E:E6:26:B1,"Aruba, a Hewlett Packard Enterprise Company",57,57,-74,-74,WPA2-Enterprise,CCMP,802.11ac,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
1,airuc-secure,04:BD:88:27:51:91,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,64,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
2,airuc-secure,04:BD:88:27:51:91,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,64,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
3,airuc-secure,84:D4:7E:E6:72:71,"Aruba, a Hewlett Packard Enterprise Company",46,46,-77,-77,WPA2-Enterprise,CCMP,802.11ac,104,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
4,airuc-secure,84:D4:7E:E6:72:71,"Aruba, a Hewlett Packard Enterprise Company",46,46,-77,-77,WPA2-Enterprise,CCMP,802.11ac,104,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
5,airuc-secure,84:D4:7E:E6:76:D1,"Aruba, a Hewlett Packard Enterprise Company",65,65,-71,-71,WPA2-Enterprise,CCMP,802.11ac,132,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
6,airuc-secure,84:D4:7E:E6:76:D1,"Aruba, a Hewlett Packard Enterprise Company",65,65,-71,-71,WPA2-Enterprise,CCMP,802.11ac,132,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
7,airuc-secure,84:D4:7E:EF:35:51,"Aruba, a Hewlett Packard Enterprise Company",80,80,-65,-65,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
8,airuc-secure,84:D4:7E:EF:35:51,"Aruba, a Hewlett Packard Enterprise Company",80,80,-65,-65,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
9,airuc-secure,84:D4:7E:EF:3E:71,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,140,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
10,airuc-secure,84:D4:7E:EF:3E:71,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,140,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
11,airuc-secure,84:D4:7E:EF:4E:B1,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,100,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
12,airuc-secure,84:D4:7E:EF:4E:B1,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,100,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
13,airuc-secure,84:D4:7E:E6:78:31,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,140,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
14,airuc-secure,84:D4:7E:F3:29:F1,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,60,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
15,airuc-secure,84:D4:7E:F3:29:F1,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,60,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
16,airuc-secure,04:BD:88:27:4E:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,56,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
17,airuc-secure,84:D4:7E:F2:FD:D1,"Aruba, a Hewlett Packard Enterprise Company",86,86,-54,-54,WPA2-Enterprise,CCMP,802.11ac,108,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
18,airuc-secure,84:D4:7E:F2:FD:D1,"Aruba, a Hewlett Packard Enterprise Company",86,86,-54,-54,WPA2-Enterprise,CCMP,802.11ac,108,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
19,airuc-secure,84:D4:7E:E6:77:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
20,airuc-secure,84:D4:7E:E6:77:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
21,airuc-secure,84:D4:7E:E6:24:11,"Aruba, a Hewlett Packard Enterprise Company",78,78,-66,-66,WPA2-Enterprise,CCMP,802.11ac,52,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
22,airuc-secure,84:D4:7E:E6:24:11,"Aruba, a Hewlett Packard Enterprise Company",78,78,-66,-66,WPA2-Enterprise,CCMP,802.11ac,52,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:09:38.631
23,airuc-secure,84:D4:7E:EE:A2:21,"Aruba, a Hewlett Packard Enterprise Company",60,60,-73,-73,WPA2-Enterprise,CCMP,802.11n,11,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:08:49.080
