,SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC)
0,airuc-secure,84:D4:7E:E6:76:C1,"Aruba, a Hewlett Packard Enterprise Company",78,78,-66,-66,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
1,airuc-secure,84:D4:7E:E6:26:B1,"Aruba, a Hewlett Packard Enterprise Company",53,53,-75,-75,WPA2-Enterprise,CCMP,802.11ac,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
2,airuc-secure,04:BD:88:27:51:91,"Aruba, a Hewlett Packard Enterprise Company",50,50,-76,-76,WPA2-Enterprise,CCMP,802.11ac,64,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
3,airuc-secure,84:D4:7E:E6:76:D1,"Aruba, a Hewlett Packard Enterprise Company",62,62,-72,-72,WPA2-Enterprise,CCMP,802.11ac,132,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
4,airuc-secure,84:D4:7E:EF:35:51,"Aruba, a Hewlett Packard Enterprise Company",82,82,-60,-60,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
5,airuc-secure,84:D4:7E:EF:35:41,"Aruba, a Hewlett Packard Enterprise Company",81,81,-62,-62,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
6,airuc-secure,84:D4:7E:E6:82:31,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,112,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
7,airuc-secure,84:D4:7E:F2:FD:D1,"Aruba, a Hewlett Packard Enterprise Company",85,85,-56,-56,WPA2-Enterprise,CCMP,802.11ac,108,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
8,airuc-secure,84:D4:7E:F3:09:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,136,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
9,airuc-secure,84:D4:7E:E6:77:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
10,airuc-secure,84:D4:7E:E6:24:11,"Aruba, a Hewlett Packard Enterprise Company",80,80,-65,-65,WPA2-Enterprise,CCMP,802.11ac,52,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
11,airuc-secure,84:D4:7E:F3:29:F1,"Aruba, a Hewlett Packard Enterprise Company",60,60,-73,-73,WPA2-Enterprise,CCMP,802.11ac,60,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
12,airuc-secure,84:D4:7E:E6:74:11,"Aruba, a Hewlett Packard Enterprise Company",60,60,-73,-73,WPA2-Enterprise,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
13,airuc-secure,84:D4:7E:F2:F1:C1,"Aruba, a Hewlett Packard Enterprise Company",65,65,-71,-71,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
14,airuc-secure,84:D4:7E:F2:FD:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,100,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
15,airuc-secure,84:D4:7E:E6:81:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,136,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
16,airuc-secure,84:D4:7E:F2:FD:C1,"Aruba, a Hewlett Packard Enterprise Company",83,83,-58,-58,WPA2-Enterprise,CCMP,802.11n,6,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
17,airuc-secure,84:D4:7E:EE:A2:31,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,157,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
18,airuc-secure,84:D4:7E:EF:3C:D1,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,132,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
19,airuc-secure,84:D4:7E:E6:E8:51,"Aruba, a Hewlett Packard Enterprise Company",60,60,-73,-73,WPA2-Enterprise,CCMP,802.11ac,112,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
20,airuc-secure,84:D4:7E:F3:0C:31,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,52,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
21,airuc-secure,04:BD:88:27:4A:41,"Aruba, a Hewlett Packard Enterprise Company",72,72,-68,-68,WPA2-Enterprise,CCMP,802.11n,11,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
22,airuc-secure,84:D4:7E:F2:FC:71,"Aruba, a Hewlett Packard Enterprise Company",43,43,-78,-78,WPA2-Enterprise,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
23,airuc-secure,6C:F3:7F:EF:C5:11,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,56,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
24,airuc-secure,04:BD:88:27:4F:E1,"Aruba, a Hewlett Packard Enterprise Company",67,67,-70,-70,WPA2-Enterprise,CCMP,802.11n,6,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
25,airuc-secure,84:D4:7E:E6:24:F1,"Aruba, a Hewlett Packard Enterprise Company",50,50,-76,-76,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
26,airuc-secure,84:D4:7E:F3:08:11,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,140,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
27,airuc-secure,84:D4:7E:EE:AF:71,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,60,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
28,airuc-secure,84:D4:7E:E6:82:21,"Aruba, a Hewlett Packard Enterprise Company",57,57,-74,-74,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
29,airuc-secure,84:D4:7E:F3:02:91,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
30,airuc-secure,84:D4:7E:E6:F2:21,"Aruba, a Hewlett Packard Enterprise Company",62,62,-72,-72,WPA2-Enterprise,CCMP,802.11n,6,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
31,airuc-secure,04:BD:88:26:1D:31,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,153,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
32,airuc-secure,84:D4:7E:F2:FE:51,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
33,airuc-secure,84:D4:7E:EF:3F:D1,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,100,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
34,airuc-secure,84:D4:7E:E6:F2:31,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,100,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
35,airuc-secure,84:D4:7E:E6:24:D1,"Aruba, a Hewlett Packard Enterprise Company",93,93,-42,-42,WPA2-Enterprise,CCMP,802.11ac,48,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
36,airuc-secure,84:D4:7E:E6:F0:B1,"Aruba, a Hewlett Packard Enterprise Company",43,43,-78,-78,WPA2-Enterprise,CCMP,802.11ac,161,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
37,airuc-secure,04:BD:88:27:4F:F1,"Aruba, a Hewlett Packard Enterprise Company",43,43,-78,-78,WPA2-Enterprise,CCMP,802.11ac,136,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
38,airuc-secure,84:D4:7E:E6:77:41,"Aruba, a Hewlett Packard Enterprise Company",65,65,-71,-71,WPA2-Enterprise,CCMP,802.11n,11,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
39,airuc-secure,84:D4:7E:EE:94:11,"Aruba, a Hewlett Packard Enterprise Company",67,67,-70,-70,WPA2-Enterprise,CCMP,802.11ac,136,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
40,airuc-secure,84:D4:7E:E6:83:E1,"Aruba, a Hewlett Packard Enterprise Company",72,72,-68,-68,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
41,airuc-secure,84:D4:7E:F2:FD:E1,"Aruba, a Hewlett Packard Enterprise Company",57,57,-74,-74,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
42,airuc-secure,04:BD:88:27:51:81,"Aruba, a Hewlett Packard Enterprise Company",72,72,-68,-68,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
43,airuc-secure,84:D4:7E:E6:24:B1,"Aruba, a Hewlett Packard Enterprise Company",57,57,-74,-74,WPA2-Enterprise,CCMP,802.11ac,48,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
44,airuc-secure,84:D4:7E:E6:73:F1,"Aruba, a Hewlett Packard Enterprise Company",57,57,-74,-74,WPA2-Enterprise,CCMP,802.11ac,136,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
45,airuc-secure,84:D4:7E:F2:F1:D1,"Aruba, a Hewlett Packard Enterprise Company",82,82,-61,-61,WPA2-Enterprise,CCMP,802.11ac,52,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
46,airuc-secure,84:D4:7E:E6:24:C1,"Aruba, a Hewlett Packard Enterprise Company",90,90,-47,-47,WPA2-Enterprise,CCMP,802.11n,6,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
47,airuc-secure,84:D4:7E:EE:61:E1,"Aruba, a Hewlett Packard Enterprise Company",53,53,-75,-75,WPA2-Enterprise,CCMP,802.11n,1,"2,5.5,11,18,24,36,48,54","6,9,12",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
48,airuc-secure,84:D4:7E:EF:35:71,"Aruba, a Hewlett Packard Enterprise Company",80,80,-65,-65,WPA2-Enterprise,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
49,airuc-secure,84:D4:7E:EF:40:F1,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,60,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
50,eduroam,84:D4:7E:EF:35:72,"Aruba, a Hewlett Packard Enterprise Company",80,80,-65,-65,WPA2-Enterprise,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
51,eduroam,84:D4:7E:EF:35:52,"Aruba, a Hewlett Packard Enterprise Company",70,70,-69,-69,WPA2-Enterprise,CCMP,802.11ac,144,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
52,eduroam,84:D4:7E:E6:74:12,"Aruba, a Hewlett Packard Enterprise Company",62,62,-72,-72,WPA2-Enterprise,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
53,eduroam,04:BD:88:27:51:92,"Aruba, a Hewlett Packard Enterprise Company",50,50,-76,-76,WPA2-Enterprise,CCMP,802.11ac,64,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
54,eduroam,84:D4:7E:EF:3C:D2,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,132,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
55,eduroam,84:D4:7E:E6:24:12,"Aruba, a Hewlett Packard Enterprise Company",80,80,-65,-65,WPA2-Enterprise,CCMP,802.11ac,52,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
56,eduroam,84:D4:7E:E6:71:F2,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,136,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
57,eduroam,04:BD:88:26:1D:32,"Aruba, a Hewlett Packard Enterprise Company",40,40,-79,-79,WPA2-Enterprise,CCMP,802.11ac,153,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2024-02-16,20:04:46.908
